Player,Runs,SR,Bat_Score,Wickets,Economy,Bowl_Score
V Kohli,4400.0,126.69162107687877,0.7472575217778084,,,
Rg Sharma,3600.0,132.7433628318584,0.6628772869361961,,,
Ch Gayle,2873.0,146.65645737621236,0.6364696157594321,,,
Ab De Villiers,3163.0,158.3875813720581,0.6364314594347423,,,
S Dhawan,3926.0,123.57570034623859,0.6303604274532565,,,
Da Warner,3280.0,133.93221723152305,0.5945694704767857,,,
Ms Dhoni,3065.0,135.98047914818102,0.5945594208717644,,,
Sp Narine,,,,116.0,6.835633626097867,0.8516296577281083
Pp Chawla,,,,114.0,8.10067415730337,0.8138265860537199
B Kumar,,,,110.0,7.470102090422945,0.8068237664415014
Ut Yadav,,,,111.0,8.447484123106985,0.790781686501928
